Options:
Model:                           Discrete: Independent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-indep
Summary:                         False
Seed                             3866554334
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
509	-69.269347	0.015656	0.022776	2.415922	0.501586	0.225782	0.225782	0.274218	0.274218	
510	-69.023806	0.019361	0.024035	1.036258	0.215222	0.224343	0.224343	0.275657	0.275657	
511	-69.164993	0.015299	0.022624	0.572741	0.119170	0.216806	0.216806	0.283194	0.283194	
512	-68.428921	0.014553	0.022072	0.570867	0.118617	0.217507	0.217507	0.282493	0.282493	
513	-68.623429	0.017386	0.022919	0.556497	0.116042	0.225086	0.225086	0.274914	0.274914	
514	-69.521404	0.017660	0.023322	0.521282	0.108250	0.226403	0.226403	0.273597	0.273597	
515	-68.079535	0.015776	0.022896	0.621970	0.129522	0.218167	0.218167	0.281833	0.281833	
516	-68.590832	0.019392	0.022941	1.059128	0.220890	0.231485	0.231485	0.268515	0.268515	
517	-68.332876	0.015892	0.022216	0.818320	0.169902	0.229341	0.229341	0.270659	0.270659	
518	-68.796544	0.017063	0.021961	0.441496	0.092143	0.229511	0.229511	0.270489	0.270489	
519	-68.423792	0.017290	0.022386	0.412385	0.086315	0.233381	0.233381	0.266619	0.266619	
520	-68.870318	0.014072	0.021401	0.675280	0.140182	0.210711	0.210711	0.289289	0.289289	
521	-68.133688	0.013571	0.020729	0.567160	0.117915	0.214459	0.214459	0.285541	0.285541	
522	-68.562799	0.015500	0.021135	0.378449	0.078664	0.230767	0.230767	0.269233	0.269233	
523	-68.473383	0.014156	0.020380	0.831373	0.172653	0.225257	0.225257	0.274743	0.274743	
524	-68.710482	0.013830	0.020073	0.441390	0.091851	0.218854	0.218854	0.281146	0.281146	
525	-69.376940	0.015041	0.020941	0.245194	0.051560	0.227530	0.227530	0.272470	0.272470	
526	-69.495930	0.016639	0.022466	0.394932	0.082857	0.225346	0.225346	0.274654	0.274654	
527	-69.649257	0.013431	0.021023	0.339779	0.070922	0.208696	0.208696	0.291304	0.291304	
528	-69.588389	0.013817	0.021132	0.803041	0.166680	0.213506	0.213506	0.286494	0.286494	
529	-69.601524	0.015663	0.021551	1.813997	0.376579	0.221731	0.221731	0.278269	0.278269	
530	-69.704118	0.017886	0.021964	0.701828	0.145766	0.223217	0.223217	0.276783	0.276783	
531	-69.555368	0.017042	0.021189	0.468473	0.097349	0.211107	0.211107	0.288893	0.288893	
532	-69.834570	0.015812	0.020305	0.256929	0.054219	0.208480	0.208480	0.291520	0.291520	
533	-68.712372	0.016986	0.021165	0.331921	0.069859	0.221688	0.221688	0.278312	0.278312	
534	-70.288460	7.036114	4.221664	0.392088	0.081904	0.250000	0.250000	0.250000	0.250000	
535	-70.311751	3.053909	1.832347	0.474860	0.098776	0.250000	0.250000	0.250000	0.250000	
536	-69.034588	0.016062	0.020826	0.663620	0.138145	0.230904	0.230904	0.269096	0.269096	
537	-69.386191	0.018544	0.021413	0.420007	0.088210	0.232623	0.232623	0.267377	0.267377	
538	-70.161788	0.663219	0.400460	0.389043	0.082042	0.250000	0.250000	0.250000	0.250000	
539	-69.775199	0.015641	0.022245	0.591768	0.123005	0.220375	0.220375	0.279625	0.279625	
540	-70.241589	0.018801	0.023643	0.731471	0.152248	0.218051	0.218051	0.281949	0.281949	
541	-69.488567	0.016515	0.023025	0.445416	0.092687	0.216753	0.216753	0.283247	0.283247	
542	-68.985333	0.014648	0.022650	0.234992	0.049638	0.219794	0.219794	0.280206	0.280206	
543	-68.623842	0.015648	0.022440	0.657766	0.136596	0.228414	0.228414	0.271586	0.271586	
544	-69.937022	0.021496	0.023280	2.206444	0.457611	0.235188	0.235188	0.264812	0.264812	
545	-69.196264	0.017238	0.022172	8.164656	1.694539	0.231042	0.231042	0.268958	0.268958	
546	-68.775900	0.018812	0.022672	2.909122	0.603781	0.225925	0.225925	0.274075	0.274075	
547	-69.421479	0.017790	0.022042	8.345109	1.732018	0.230134	0.230134	0.269866	0.269866	
548	-70.319921	2.966781	1.780071	1.473612	0.305848	0.250000	0.250000	0.250000	0.250000	
549	-69.948835	0.019587	0.022398	0.513164	0.106798	0.221785	0.221785	0.278215	0.278215	
550	-70.315958	2.437096	1.462256	0.442119	0.091866	0.250000	0.250000	0.250000	0.250000	
551	-68.058071	0.016518	0.022074	0.429834	0.089796	0.222384	0.222384	0.277616	0.277616	
552	-68.779424	0.017519	0.021709	0.544015	0.113119	0.226238	0.226238	0.273762	0.273762	
553	-69.339875	0.018734	0.022098	1.478828	0.306923	0.220632	0.220632	0.279368	0.279368	
554	-68.852890	0.018982	0.022826	2.526934	0.524459	0.228881	0.228881	0.271119	0.271119	
555	-68.746284	0.020218	0.022988	1.555415	0.322816	0.230113	0.230113	0.269887	0.269887	
556	-69.489569	0.017348	0.022747	4.776914	0.991633	0.215070	0.215070	0.284930	0.284930	
557	-68.697528	0.016496	0.022683	4.604762	0.955764	0.214860	0.214860	0.285140	0.285140	
558	-69.172576	0.016373	0.022438	5.874519	1.219334	0.216985	0.216985	0.283015	0.283015	
559	-70.074737	0.151430	0.090986	1.006237	0.208873	0.250000	0.250000	0.250000	0.250000	
560	-69.756135	0.123120	0.074284	2.053929	0.426287	0.250000	0.250000	0.250000	0.250000	
561	-69.114742	0.014794	0.021937	3.795700	0.787773	0.213528	0.213528	0.286472	0.286472	
562	-70.317358	2.101595	1.260958	0.531509	0.110421	0.250000	0.250000	0.250000	0.250000	
563	-69.577311	0.013377	0.020520	2.232572	0.463687	0.221959	0.221959	0.278041	0.278041	
564	-69.473860	0.011243	0.021134	0.352101	0.073363	0.205292	0.205292	0.294708	0.294708	
565	-69.199347	0.016639	0.021708	0.683903	0.142247	0.217539	0.217539	0.282461	0.282461	
566	-69.256654	0.013579	0.021210	5.895459	1.223784	0.203350	0.203350	0.296650	0.296650	
567	-68.428836	0.012616	0.021143	2.508774	0.520728	0.207387	0.207387	0.292613	0.292613	
568	-67.631264	0.013152	0.020792	1.652650	0.342977	0.205419	0.205419	0.294581	0.294581	
569	-68.749933	0.015628	0.022066	1.739375	0.361075	0.218043	0.218043	0.281957	0.281957	
570	-68.847886	0.013046	0.021034	0.667734	0.138605	0.210117	0.210117	0.289883	0.289883	
571	-69.578310	0.018241	0.022415	2.220745	0.460951	0.227015	0.227015	0.272985	0.272985	
572	-68.960666	0.017749	0.022491	1.062804	0.220576	0.232966	0.232966	0.267034	0.267034	
573	-68.922107	0.017060	0.022953	2.831450	0.587659	0.229629	0.229629	0.270371	0.270371	
574	-67.553859	0.012793	0.022037	3.136401	0.650948	0.204988	0.204988	0.295012	0.295012	
575	-68.701448	0.014272	0.022441	0.808143	0.167829	0.207913	0.207913	0.292087	0.292087	
576	-67.855113	0.013735	0.020624	0.480399	0.099874	0.221978	0.221978	0.278022	0.278022	
577	-68.538831	0.014725	0.021405	1.619594	0.336248	0.226253	0.226253	0.273747	0.273747	
578	-68.416591	0.016239	0.021859	0.409351	0.085525	0.217136	0.217136	0.282864	0.282864	
579	-68.254888	0.014917	0.021517	0.273764	0.057523	0.199174	0.199174	0.300826	0.300826	
580	-68.642433	0.015320	0.021335	1.835973	0.381046	0.230096	0.230096	0.269904	0.269904	
581	-68.243161	0.014272	0.021144	0.396073	0.082622	0.232066	0.232066	0.267934	0.267934	
582	-68.984339	0.013414	0.020914	5.003594	1.038541	0.215274	0.215274	0.284726	0.284726	
583	-69.731545	0.014326	0.021014	1.045502	0.216955	0.218495	0.218495	0.281505	0.281505	
584	-68.703449	0.014731	0.020363	2.586076	0.536739	0.232439	0.232439	0.267561	0.267561	
585	-69.077894	0.015951	0.020997	4.471367	0.928040	0.231072	0.231072	0.268928	0.268928	
586	-69.687407	0.015091	0.021454	4.699601	0.975518	0.221731	0.221731	0.278269	0.278269	
587	-68.451834	0.014315	0.021828	1.661976	0.344931	0.205231	0.205231	0.294769	0.294769	
588	-69.774182	0.016424	0.021723	0.761763	0.158131	0.217013	0.217013	0.282987	0.282987	
589	-69.416225	0.016928	0.022098	0.633333	0.131935	0.217339	0.217339	0.282661	0.282661	
590	-69.584205	0.019445	0.022316	1.414453	0.293587	0.218951	0.218951	0.281049	0.281049	
591	-69.733216	0.016436	0.021513	0.586455	0.121989	0.194444	0.194444	0.305556	0.305556	
592	-69.052706	0.020079	0.022709	0.777506	0.161548	0.224274	0.224274	0.275726	0.275726	
593	-68.011850	0.018739	0.021484	3.043515	0.631635	0.227604	0.227604	0.272396	0.272396	
594	-67.927240	0.018292	0.021414	1.403425	0.291274	0.223941	0.223941	0.276059	0.276059	
595	-68.245781	0.018707	0.022189	0.538682	0.112385	0.216262	0.216262	0.283738	0.283738	
596	-68.422113	0.015786	0.020923	0.931645	0.193363	0.229558	0.229558	0.270442	0.270442	
597	-68.540476	0.014613	0.020529	3.431900	0.712448	0.213877	0.213877	0.286123	0.286123	
598	-68.589192	0.011923	0.021280	2.779973	0.577036	0.208302	0.208302	0.291698	0.291698	
599	-69.166845	0.015806	0.020824	0.588301	0.122767	0.226139	0.226139	0.273861	0.273861	
600	-69.168263	0.014827	0.021484	2.426078	0.503525	0.233123	0.233123	0.266877	0.266877	
601	-67.986370	0.013902	0.020473	0.424412	0.088365	0.227399	0.227399	0.272601	0.272601	
602	-68.252055	0.011888	0.020303	0.369423	0.076911	0.211268	0.211268	0.288732	0.288732	
603	-69.879721	0.014676	0.021042	0.737723	0.153359	0.224047	0.224047	0.275953	0.275953	
604	-68.624086	0.013755	0.020691	1.258808	0.261317	0.226333	0.226333	0.273667	0.273667	
605	-68.864994	0.017223	0.021459	2.008663	0.417035	0.232617	0.232617	0.267383	0.267383	
606	-68.832780	0.016031	0.022302	0.546325	0.113526	0.219858	0.219858	0.280142	0.280142	
607	-69.791424	0.018710	0.023346	0.878015	0.182264	0.227142	0.227142	0.272858	0.272858	
608	-68.080420	0.014633	0.021762	2.253959	0.467782	0.225080	0.225080	0.274920	0.274920	
609	-67.815330	0.013534	0.021165	14.747143	3.060044	0.222863	0.222863	0.277137	0.277137	
610	-68.598517	0.014942	0.020553	0.392524	0.081641	0.236175	0.236175	0.263825	0.263825	
611	-67.937855	0.014855	0.020688	0.601376	0.124878	0.237907	0.237907	0.262093	0.262093	
612	-67.892192	0.014581	0.020963	1.747293	0.362641	0.235642	0.235642	0.264358	0.264358	
613	-69.242132	0.018587	0.022513	0.458739	0.095526	0.239836	0.239836	0.260164	0.260164	
614	-69.152648	0.015457	0.022521	1.346291	0.279406	0.220849	0.220849	0.279151	0.279151	
615	-69.976373	0.019112	0.023306	0.503254	0.104728	0.225572	0.225572	0.274428	0.274428	
616	-69.922256	0.018360	0.022970	0.391435	0.081540	0.224686	0.224686	0.275314	0.275314	
617	-69.627190	0.016538	0.022403	0.432798	0.090167	0.219681	0.219681	0.280319	0.280319	
618	-69.011219	0.015688	0.022497	0.533059	0.110917	0.214691	0.214691	0.285309	0.285309	
619	-69.901466	0.016559	0.021471	0.477342	0.099479	0.225548	0.225548	0.274452	0.274452	
620	-70.311996	9.719090	5.831434	0.749235	0.155774	0.250000	0.250000	0.250000	0.250000	
621	-69.312888	0.015843	0.021501	2.553514	0.529998	0.223425	0.223425	0.276575	0.276575	
622	-68.237697	0.013676	0.021575	1.394307	0.289418	0.208861	0.208861	0.291139	0.291139	
623	-68.076881	0.016708	0.021661	3.268306	0.678109	0.226302	0.226302	0.273698	0.273698	
624	-67.683543	0.014174	0.021558	0.609240	0.126536	0.211733	0.211733	0.288267	0.288267	
625	-70.319261	2.517962	1.510775	0.767935	0.159419	0.250000	0.250000	0.250000	0.250000	
626	-69.340988	0.015187	0.022254	0.261833	0.054876	0.217077	0.217077	0.282923	0.282923	
627	-68.630246	0.013348	0.022293	2.202268	0.457082	0.215362	0.215362	0.284638	0.284638	
628	-68.476973	0.014252	0.021542	1.363896	0.283129	0.211593	0.211593	0.288407	0.288407	
629	-68.627056	0.014959	0.021505	2.097125	0.435237	0.226800	0.226800	0.273200	0.273200	
630	-69.333485	0.016670	0.022337	1.395714	0.289676	0.228331	0.228331	0.271669	0.271669	
631	-68.823334	0.015898	0.021716	0.776450	0.161220	0.224763	0.224763	0.275237	0.275237	
632	-68.810416	0.014291	0.021217	0.298044	0.062314	0.221995	0.221995	0.278005	0.278005	
633	-70.092685	0.017516	0.022429	0.367919	0.076676	0.223446	0.223446	0.276554	0.276554	
634	-69.663331	0.016174	0.021756	1.383715	0.287236	0.232592	0.232592	0.267408	0.267408	
635	-68.369426	0.013596	0.021317	2.049655	0.425403	0.203917	0.203917	0.296083	0.296083	
636	-68.643136	0.012200	0.021260	2.086512	0.433048	0.193031	0.193031	0.306969	0.306969	
637	-68.544062	0.014548	0.021369	6.773935	1.405894	0.213716	0.213716	0.286284	0.286284	
638	-68.722584	0.013941	0.021507	0.395992	0.082672	0.208518	0.208518	0.291482	0.291482	
639	-68.093128	0.014318	0.020669	0.552024	0.114825	0.204446	0.204446	0.295554	0.295554	
640	-68.549666	0.013780	0.020353	1.785233	0.370619	0.212465	0.212465	0.287535	0.287535	
641	-68.140802	0.014057	0.021235	0.799647	0.165979	0.214759	0.214759	0.285241	0.285241	
642	-68.372053	0.016222	0.022086	0.768186	0.159511	0.219145	0.219145	0.280855	0.280855	
643	-68.318298	0.013305	0.021111	2.033268	0.421997	0.218057	0.218057	0.281943	0.281943	
644	-67.495315	0.012662	0.021003	0.407771	0.084910	0.218197	0.218197	0.281803	0.281803	
645	-68.577874	0.014918	0.021881	2.083808	0.432496	0.224206	0.224206	0.275794	0.275794	
646	-67.838374	0.011952	0.020596	1.598026	0.331678	0.205850	0.205850	0.294150	0.294150	
647	-68.458641	0.012803	0.020760	1.137284	0.236074	0.192968	0.192968	0.307032	0.307032	
648	-68.133973	0.015020	0.021151	2.660686	0.552224	0.230452	0.230452	0.269548	0.269548	
649	-67.850709	0.012418	0.021261	0.511805	0.106395	0.208277	0.208277	0.291723	0.291723	
650	-68.946592	0.014053	0.020218	1.446836	0.300289	0.217796	0.217796	0.282204	0.282204	
651	-68.868973	0.012506	0.020595	2.024316	0.420132	0.204137	0.204137	0.295863	0.295863	
652	-69.794291	0.146547	0.086892	5.474837	1.136305	0.250000	0.250000	0.250000	0.250000	
653	-68.161634	0.014520	0.020804	2.714495	0.563355	0.214566	0.214566	0.285434	0.285434	
654	-69.293982	0.016752	0.022031	2.358630	0.489162	0.225188	0.225188	0.274812	0.274812	
655	-68.998295	0.017030	0.022121	6.425458	1.333554	0.228193	0.228193	0.271807	0.271807	
656	-69.025577	0.016711	0.022293	1.327135	0.275407	0.225535	0.225535	0.274465	0.274465	
657	-68.982476	0.015456	0.022062	0.925236	0.192204	0.212815	0.212815	0.287185	0.287185	
658	-68.776861	0.019257	0.022265	0.910143	0.189111	0.228816	0.228816	0.271184	0.271184	
659	-68.886468	0.018288	0.021771	0.769431	0.159750	0.227765	0.227765	0.272235	0.272235	
660	-69.627125	0.017578	0.021659	0.705830	0.146498	0.219368	0.219368	0.280632	0.280632	
661	-69.696567	0.088869	0.054973	0.953427	0.197893	0.249999	0.249999	0.250001	0.250001	
662	-68.558331	0.013932	0.021926	0.353049	0.073762	0.211337	0.211337	0.288663	0.288663	
663	-68.462452	0.015087	0.021390	0.428618	0.089245	0.210146	0.210146	0.289854	0.289854	
664	-68.717684	0.015992	0.021648	0.266718	0.056042	0.220547	0.220547	0.279453	0.279453	
665	-69.475735	0.015843	0.021575	0.473756	0.098414	0.224531	0.224531	0.275469	0.275469	
666	-69.027545	0.016448	0.021346	2.554086	0.530109	0.226552	0.226552	0.273448	0.273448	
667	-68.357676	0.017382	0.021495	0.574681	0.120188	0.226835	0.226835	0.273165	0.273165	
668	-67.651571	0.013628	0.020375	1.245328	0.258511	0.223740	0.223740	0.276260	0.276260	
669	-68.267087	0.016608	0.021449	2.008011	0.416771	0.232560	0.232560	0.267440	0.267440	
670	-68.879289	0.018603	0.022645	0.911082	0.189476	0.240734	0.240734	0.259266	0.259266	
671	-70.027442	0.175962	0.107214	0.635329	0.132316	0.250000	0.250000	0.250000	0.250000	
672	-68.906142	0.016737	0.022327	1.429124	0.296605	0.233120	0.233120	0.266880	0.266880	
673	-69.519621	0.018747	0.022475	0.611158	0.126975	0.234924	0.234924	0.265076	0.265076	
674	-69.063590	0.016794	0.021546	6.600192	1.369820	0.235492	0.235492	0.264508	0.264508	
675	-70.318387	2.797322	1.678393	0.665232	0.138125	0.250000	0.250000	0.250000	0.250000	
676	-69.019221	0.018414	0.022780	3.327822	0.690692	0.229932	0.229932	0.270068	0.270068	
677	-68.651150	0.017610	0.022247	1.377840	0.285956	0.226767	0.226767	0.273233	0.273233	
678	-69.648507	0.022334	0.024357	0.980342	0.203525	0.228402	0.228402	0.271598	0.271598	
679	-68.622036	0.015789	0.022672	0.437770	0.091774	0.212219	0.212219	0.287781	0.287781	
680	-68.626014	0.015767	0.022935	1.225665	0.254384	0.215487	0.215487	0.284513	0.284513	
681	-68.858573	0.016874	0.022685	0.497177	0.103449	0.219951	0.219951	0.280049	0.280049	
682	-70.138150	0.082692	0.049217	0.259707	0.054951	0.249940	0.249940	0.250060	0.250060	
683	-68.961278	0.018762	0.021909	0.482747	0.100815	0.232785	0.232785	0.267215	0.267215	
684	-68.762047	0.019964	0.022242	2.097928	0.435576	0.243132	0.243132	0.256868	0.256868	
685	-68.168982	0.021149	0.023407	0.504665	0.105155	0.232205	0.232205	0.267795	0.267795	
686	-68.773260	0.018536	0.021400	2.635966	0.547093	0.231937	0.231937	0.268063	0.268063	
687	-69.752886	0.057437	0.035644	1.148145	0.238304	0.249172	0.249172	0.250828	0.250828	
688	-69.432451	0.021170	0.023518	0.707069	0.146938	0.233595	0.233595	0.266405	0.266405	
689	-67.744949	0.017640	0.021352	0.597119	0.124441	0.235138	0.235138	0.264862	0.264862	
690	-68.677426	0.018780	0.022047	1.404156	0.291434	0.232741	0.232741	0.267259	0.267259	
691	-68.860134	0.019367	0.022708	2.688733	0.557967	0.237149	0.237149	0.262851	0.262851	
692	-69.332882	0.020325	0.022965	2.388177	0.495664	0.233672	0.233672	0.266328	0.266328	
693	-68.254836	0.021018	0.022989	0.629683	0.131701	0.237362	0.237362	0.262638	0.262638	
694	-68.640233	0.018934	0.021800	0.489819	0.102109	0.234622	0.234622	0.265378	0.265378	
695	-69.245228	0.019023	0.022212	6.500787	1.349208	0.238998	0.238998	0.261002	0.261002	
696	-69.636637	0.023109	0.023585	0.980793	0.203999	0.242528	0.242528	0.257472	0.257472	
697	-68.674525	0.017342	0.021572	2.359923	0.489824	0.236299	0.236299	0.263701	0.263701	
698	-68.711779	0.017672	0.022066	1.652828	0.343032	0.234982	0.234982	0.265018	0.265018	
699	-69.230030	0.018113	0.023080	2.234651	0.463802	0.231451	0.231451	0.268549	0.268549	
700	-68.770288	0.018602	0.023428	0.698874	0.145294	0.235910	0.235910	0.264090	0.264090	
701	-68.503711	0.016837	0.022582	8.101898	1.681492	0.238013	0.238013	0.261987	0.261987	
702	-68.499395	0.013058	0.021258	0.492598	0.102529	0.223173	0.223173	0.276827	0.276827	
703	-69.240565	0.013229	0.022100	0.760319	0.157878	0.213814	0.213814	0.286186	0.286186	
704	-68.598836	0.015291	0.023956	1.437251	0.298318	0.213567	0.213567	0.286433	0.286433	
705	-68.739704	0.015655	0.022297	2.574648	0.534365	0.219616	0.219616	0.280384	0.280384	
706	-68.801508	0.020104	0.023243	0.656202	0.136558	0.226348	0.226348	0.273652	0.273652	
707	-69.236316	0.017960	0.022760	0.644452	0.133799	0.233416	0.233416	0.266584	0.266584	
708	-70.300686	0.751717	0.451152	0.426232	0.088883	0.250000	0.250000	0.250000	0.250000	
709	-68.195889	0.019015	0.021996	0.333389	0.069338	0.228040	0.228040	0.271960	0.271960	
710	-69.515718	0.018990	0.021834	2.327194	0.483009	0.234326	0.234326	0.265674	0.265674	
711	-68.977484	0.017944	0.021262	1.900703	0.394467	0.228033	0.228033	0.271967	0.271967	
712	-70.296766	0.229575	0.139206	3.809838	0.790702	0.250000	0.250000	0.250000	0.250000	
713	-69.083310	0.016165	0.020575	4.897947	1.016580	0.229677	0.229677	0.270323	0.270323	
714	-69.443476	0.016317	0.020859	2.448799	0.508239	0.219715	0.219715	0.280285	0.280285	
715	-69.265674	0.016820	0.020443	3.347291	0.694722	0.229340	0.229340	0.270660	0.270660	
716	-69.638490	0.019195	0.022216	1.579232	0.327749	0.225903	0.225903	0.274097	0.274097	
717	-69.600005	0.018051	0.021573	0.778200	0.161533	0.228819	0.228819	0.271181	0.271181	
718	-70.090524	0.017482	0.022456	0.398127	0.082950	0.222693	0.222693	0.277307	0.277307	
719	-68.367223	0.016290	0.021157	6.063479	1.258486	0.223383	0.223383	0.276617	0.276617	
720	-68.255783	0.014848	0.021177	0.268890	0.056521	0.209669	0.209669	0.290331	0.290331	
721	-67.780142	0.013404	0.021777	0.377081	0.078640	0.209628	0.209628	0.290372	0.290372	
722	-67.633632	0.015305	0.021711	3.065768	0.636322	0.210301	0.210301	0.289699	0.289699	
723	-70.317162	3.813690	2.288214	0.495235	0.102894	0.250000	0.250000	0.250000	0.250000	
724	-69.150741	0.016845	0.022215	0.905634	0.188133	0.224217	0.224217	0.275783	0.275783	
725	-68.736389	0.015164	0.021606	1.128261	0.234152	0.206480	0.206480	0.293520	0.293520	
726	-69.751823	0.019094	0.022829	1.377341	0.285510	0.217754	0.217754	0.282246	0.282246	
727	-69.239819	0.016335	0.021933	0.953679	0.198038	0.215930	0.215930	0.284070	0.284070	
728	-69.455591	0.019005	0.022561	0.369186	0.076960	0.221156	0.221156	0.278844	0.278844	
729	-67.759958	0.015389	0.020936	1.165145	0.241849	0.229903	0.229903	0.270097	0.270097	
730	-70.303904	1.712265	1.027357	0.287438	0.059995	0.250000	0.250000	0.250000	0.250000	
731	-69.465268	0.017611	0.022389	0.606981	0.126003	0.231958	0.231958	0.268042	0.268042	
732	-69.874540	0.018397	0.022567	9.071517	1.882707	0.229710	0.229710	0.270290	0.270290	
733	-69.519814	0.021839	0.023663	0.484768	0.100965	0.235507	0.235507	0.264493	0.264493	
734	-69.115736	0.016169	0.021621	0.373912	0.078341	0.217256	0.217256	0.282744	0.282744	
735	-68.538616	0.018298	0.023596	0.582564	0.121500	0.222582	0.222582	0.277418	0.277418	
736	-67.952923	0.014584	0.022818	0.610155	0.127046	0.210879	0.210879	0.289121	0.289121	
737	-67.877936	0.014034	0.021831	0.798135	0.166174	0.213381	0.213381	0.286619	0.286619	
738	-68.568489	0.016007	0.021461	2.370591	0.492092	0.221219	0.221219	0.278781	0.278781	
739	-69.163927	0.017921	0.022310	3.041343	0.631228	0.226596	0.226596	0.273404	0.273404	
740	-68.893634	0.016956	0.022437	2.002113	0.415527	0.222813	0.222813	0.277187	0.277187	
741	-68.076602	0.014006	0.022322	0.752352	0.156420	0.214346	0.214346	0.285654	0.285654	
742	-69.200215	0.019028	0.022345	1.981969	0.411358	0.221301	0.221301	0.278699	0.278699	
743	-70.297266	5.519489	3.311701	0.614725	0.128074	0.250000	0.250000	0.250000	0.250000	
744	-69.302252	0.019669	0.023104	1.877807	0.389762	0.232553	0.232553	0.267447	0.267447	
745	-69.703195	0.020086	0.023107	0.771863	0.160374	0.230236	0.230236	0.269764	0.269764	
746	-69.643571	0.073072	0.044272	4.427726	0.918964	0.249882	0.249882	0.250118	0.250118	
747	-69.501955	0.023218	0.023810	2.997676	0.622136	0.234936	0.234936	0.265064	0.265064	
748	-68.377454	0.017795	0.022811	0.831304	0.173476	0.231985	0.231985	0.268015	0.268015	
749	-69.354759	0.022397	0.023334	0.321901	0.067201	0.238329	0.238329	0.261671	0.261671	
750	-68.788969	0.020155	0.022778	0.474458	0.098638	0.227873	0.227873	0.272127	0.272127	
751	-69.304164	0.022610	0.023308	0.611207	0.126976	0.232996	0.232996	0.267004	0.267004	
752	-68.689120	0.021078	0.022782	1.331833	0.276527	0.231719	0.231719	0.268281	0.268281	
753	-68.113199	0.015102	0.021131	6.056695	1.257034	0.208802	0.208802	0.291198	0.291198	
754	-70.315523	3.551997	2.131196	0.600007	0.124713	0.250000	0.250000	0.250000	0.250000	
755	-69.435237	0.015733	0.021521	0.471224	0.098093	0.219120	0.219120	0.280880	0.280880	
756	-70.299612	0.431501	0.259063	0.317926	0.066283	0.250000	0.250000	0.250000	0.250000	
757	-69.038997	0.013459	0.020249	0.374240	0.077963	0.216998	0.216998	0.283002	0.283002	
758	-68.316431	0.016161	0.021652	0.343915	0.072063	0.222237	0.222237	0.277763	0.277763	
759	-69.550572	0.015867	0.022014	0.326797	0.068702	0.218322	0.218322	0.281678	0.281678	
760	-70.040117	0.311052	0.189228	0.267169	0.056386	0.250000	0.250000	0.250000	0.250000	
761	-69.798475	0.013381	0.021089	0.334344	0.069728	0.205320	0.205320	0.294680	0.294680	
762	-69.281839	0.013306	0.021103	0.397026	0.083320	0.198295	0.198295	0.301705	0.301705	
763	-69.432118	0.014716	0.020198	0.456568	0.095003	0.206589	0.206589	0.293411	0.293411	
764	-69.101671	0.012689	0.020027	0.550218	0.114372	0.198547	0.198547	0.301453	0.301453	
765	-69.457624	0.013768	0.020362	0.431861	0.089754	0.208393	0.208393	0.291607	0.291607	
766	-70.293294	3.490745	2.094447	0.292292	0.061042	0.250000	0.250000	0.250000	0.250000	
767	-68.779418	0.013591	0.020353	0.328031	0.068957	0.227199	0.227199	0.272801	0.272801	
768	-70.310252	2.700564	1.620336	0.433412	0.090169	0.250000	0.250000	0.250000	0.250000	
769	-69.065208	0.011934	0.019922	0.250040	0.052216	0.214640	0.214640	0.285360	0.285360	
770	-68.722142	0.012807	0.019525	0.373120	0.078386	0.214879	0.214879	0.285121	0.285121	
771	-68.614361	0.012808	0.020506	0.388104	0.081301	0.215139	0.215139	0.284861	0.284861	
772	-69.237212	0.013286	0.020660	0.393892	0.082415	0.224623	0.224623	0.275377	0.275377	
773	-68.380081	0.014505	0.020997	0.434181	0.090545	0.220551	0.220551	0.279449	0.279449	
774	-68.530930	0.015059	0.021240	0.925557	0.192215	0.219643	0.219643	0.280357	0.280357	
775	-69.159949	0.016359	0.022557	0.992823	0.206120	0.230861	0.230861	0.269139	0.269139	
776	-69.387465	0.014091	0.022464	0.363004	0.076050	0.222427	0.222427	0.277573	0.277573	
777	-68.283935	0.010817	0.021076	0.404811	0.084601	0.206913	0.206913	0.293087	0.293087	
778	-68.913794	0.015344	0.022446	0.402741	0.084426	0.222518	0.222518	0.277482	0.277482	
779	-70.255646	4.514250	2.708560	0.319856	0.067141	0.250000	0.250000	0.250000	0.250000	
780	-69.495826	0.013871	0.022102	8.918785	1.850915	0.221649	0.221649	0.278351	0.278351	
781	-70.319904	3.196196	1.917719	1.349266	0.280042	0.250000	0.250000	0.250000	0.250000	
782	-69.569145	0.014525	0.022253	1.008643	0.209944	0.222857	0.222857	0.277143	0.277143	
783	-70.060211	0.015250	0.021553	1.427358	0.296244	0.229254	0.229254	0.270746	0.270746	
784	-69.696169	0.016695	0.022057	1.026839	0.213202	0.219208	0.219208	0.280792	0.280792	
