Options:
Model:                           Discrete: Independent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-indep
Summary:                         False
Seed                             3866554334
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
157	-68.928272	0.013239	0.020002	0.442186	0.091922	0.221014	0.221014	0.278986	0.278986	
158	-69.947400	0.105359	0.064840	0.582182	0.121100	0.249999	0.249999	0.250001	0.250001	
159	-68.955223	0.017261	0.021528	1.068470	0.221833	0.227922	0.227922	0.272078	0.272078	
160	-69.442226	0.016720	0.021296	1.160836	0.241015	0.231176	0.231176	0.268824	0.268824	
161	-68.982559	0.014872	0.021042	0.726954	0.151450	0.221306	0.221306	0.278694	0.278694	
162	-69.863203	0.017699	0.021694	0.648439	0.134800	0.224401	0.224401	0.275599	0.275599	
163	-69.577010	0.016472	0.021600	1.173537	0.243554	0.229180	0.229180	0.270820	0.270820	
164	-69.005491	0.017360	0.021696	2.209268	0.458558	0.231831	0.231831	0.268169	0.268169	
165	-69.150461	0.018808	0.022352	0.673044	0.139886	0.232654	0.232654	0.267346	0.267346	
166	-69.386091	0.020028	0.023105	5.656516	1.174122	0.228183	0.228183	0.271817	0.271817	
167	-69.657958	0.116086	0.070085	4.014446	0.833149	0.250000	0.250000	0.250000	0.250000	
168	-69.162328	0.016240	0.022655	0.674951	0.140255	0.224922	0.224922	0.275078	0.275078	
169	-68.935020	0.013095	0.021640	3.562346	0.739357	0.217311	0.217311	0.282689	0.282689	
170	-69.074396	0.014950	0.021755	1.808145	0.375278	0.221923	0.221923	0.278077	0.278077	
171	-68.125743	0.011836	0.020986	0.512161	0.106438	0.197360	0.197360	0.302640	0.302640	
172	-69.330548	0.017677	0.021915	3.927065	0.815057	0.228029	0.228029	0.271971	0.271971	
