Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.bttrees
Data File Name:                  ./analysis/co-evolutionary/iroquois_binary-unilineal_binary.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/Project_Kinshipsystems_ACE_Coevolution/analysis/co-evolutionary/bt-output/bantu-iroquois_binary-unilineal_binary-dep
Summary:                         False
Seed                             2792812647
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     8
Base frequency (PI's)            None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Tree Information
     Trees:                      1000
     Taxa:                       64
     Sites:                      1
     States:                     4
Tree No	Lh	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
86	-69.584323	0.446093	0.000000	0.126991	0.024060	0.000000	0.974197	0.026151	0.169355	0.231598	0.233452	0.267789	0.267161	
87	-69.929285	0.353227	0.107395	0.000000	0.402530	0.389997	0.000000	0.173006	0.053780	0.250000	0.250000	0.250000	0.250000	
88	-68.711591	0.270028	0.000000	0.080140	0.020104	0.000000	1.165749	0.025415	0.203215	0.217845	0.222488	0.280236	0.279431	
89	-69.476870	0.292126	0.000000	0.085652	0.027063	0.000019	0.625213	0.028124	0.108440	0.236555	0.238666	0.262810	0.261969	
90	-69.010420	0.001749	0.754804	0.000000	0.032220	0.648488	0.648944	0.023609	0.112758	0.259027	0.226280	0.258226	0.256467	
91	-68.577591	0.586262	0.000005	0.165227	0.021626	0.000000	0.265840	0.025257	0.046230	0.219729	0.221859	0.281022	0.277390	
92	-68.377375	0.631094	0.000000	0.173871	0.019818	0.000038	0.995902	0.025184	0.172945	0.217454	0.219420	0.282086	0.281041	
93	-68.538942	0.011462	0.166335	0.027884	0.000000	0.064725	1.238727	0.023576	0.212362	0.254656	0.237964	0.253828	0.253552	
94	-68.879841	0.055392	0.231404	0.036500	0.000000	0.117617	2.068736	0.019887	0.358578	0.253221	0.233757	0.256521	0.256501	
95	-68.632206	0.005031	0.195033	0.027887	0.000000	0.085139	3.258324	0.023456	0.567874	0.256173	0.234950	0.254515	0.254362	
96	-68.817907	0.344497	0.000000	0.098591	0.021238	0.000000	1.223035	0.026125	0.214004	0.219731	0.223311	0.278869	0.278089	
97	-68.283413	0.405606	0.000000	0.114850	0.017949	0.000005	1.234785	0.024389	0.214575	0.224547	0.226765	0.274643	0.274045	
98	-68.668710	0.248263	0.000000	0.073687	0.022200	0.000005	1.354684	0.026910	0.235050	0.219044	0.224411	0.278620	0.277926	
99	-68.436799	0.615322	0.000000	0.170191	0.020733	0.000000	0.831946	0.026230	0.144628	0.224072	0.225709	0.275650	0.274569	
100	-68.863748	0.201974	0.000000	0.062227	0.018297	0.000000	2.564258	0.025773	0.449186	0.222390	0.227320	0.275296	0.274994	
101	-69.324239	0.021075	0.188298	0.025053	0.000017	0.092455	1.293402	0.021924	0.221478	0.255092	0.234535	0.255325	0.255048	
102	-68.193687	0.852030	0.000000	0.235437	0.017410	0.000211	0.212598	0.024752	0.035294	0.220354	0.221493	0.281368	0.276786	
